疾病通路的编号,疾病名称,通路名称,时序切片,基因名称,基因ID,基因链接
hsa05012,Parkinson disease,Mutation-inactivated PRKN to intrinsic apoptotic pathway,4,APAF1,317,https://www.kegg.jp/entry/hsa:317
hsa05012,Parkinson disease,Mutation-inactivated PRKN to intrinsic apoptotic pathway,5,CASP9,842,https://www.kegg.jp/entry/hsa:842
hsa05012,Parkinson disease,Mutation-inactivated PRKN to intrinsic apoptotic pathway,6,CASP3,836,https://www.kegg.jp/entry/hsa:836
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,8,PINK1,65018,https://www.kegg.jp/entry/hsa:65018
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,9,HTRA2,27429,https://www.kegg.jp/entry/hsa:27429
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,10,TRAP1,10131,https://www.kegg.jp/entry/hsa:10131
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,11,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,12,APAF1,317,https://www.kegg.jp/entry/hsa:317
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,13,CASP9,842,https://www.kegg.jp/entry/hsa:842
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,14,CASP3,836,https://www.kegg.jp/entry/hsa:836
hsa05012,Parkinson disease,Mutation-activated LRRK2 to intrinsic apoptotic pathway,1,LRRK2,120892,https://www.kegg.jp/entry/hsa:120892
hsa05012,Parkinson disease,Mutation-activated LRRK2 to intrinsic apoptotic pathway,2,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05012,Parkinson disease,Mutation-activated LRRK2 to intrinsic apoptotic pathway,3,APAF1,317,https://www.kegg.jp/entry/hsa:317
hsa05012,Parkinson disease,Mutation-activated LRRK2 to intrinsic apoptotic pathway,4,CASP9,842,https://www.kegg.jp/entry/hsa:842
hsa05012,Parkinson disease,Mutation-activated LRRK2 to intrinsic apoptotic pathway,5,CASP3,836,https://www.kegg.jp/entry/hsa:836
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,1,PARK7,11315,https://www.kegg.jp/entry/hsa:11315
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,2,DAXX,1616,https://www.kegg.jp/entry/hsa:1616
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,3,MAP3K5,4217,https://www.kegg.jp/entry/hsa:4217
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,4,MAPK8,5599,https://www.kegg.jp/entry/hsa:5599
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,5,MAPK9,5601,https://www.kegg.jp/entry/hsa:5601
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to FAS-JNK signaling patwhay,6,MAPK10,5602,https://www.kegg.jp/entry/hsa:5602
hsa05012,Parkinson disease,Paraquat to FAS-JNK signaling pathway,1,TXN,7295,https://www.kegg.jp/entry/hsa:7295
hsa05012,Parkinson disease,Paraquat to FAS-JNK signaling pathway,2,MAP3K5,4217,https://www.kegg.jp/entry/hsa:4217
hsa05012,Parkinson disease,Paraquat to FAS-JNK signaling pathway,3,MAPK8,5599,https://www.kegg.jp/entry/hsa:5599
hsa05012,Parkinson disease,Paraquat to FAS-JNK signaling pathway,4,MAPK9,5601,https://www.kegg.jp/entry/hsa:5601
hsa05012,Parkinson disease,Paraquat to FAS-JNK signaling pathway,5,MAPK10,5602,https://www.kegg.jp/entry/hsa:5602
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to L-DOPA generation,1,SNCA,6622,https://www.kegg.jp/entry/hsa:6622
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to L-DOPA generation,2,TH,7054,https://www.kegg.jp/entry/hsa:7054
hsa05012,Parkinson disease,Mutation-inactivated PRKN to DOPAL generation,1,PRKN,5071,https://www.kegg.jp/entry/hsa:5071
hsa05012,Parkinson disease,Mutation-inactivated PRKN to DOPAL generation,2,MAOA,4128,https://www.kegg.jp/entry/hsa:4128
hsa05012,Parkinson disease,Mutation-inactivated PRKN to DOPAL generation,3,MAOB,4129,https://www.kegg.jp/entry/hsa:4129
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to transport of dopamine,1,SNCA,6622,https://www.kegg.jp/entry/hsa:6622
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to transport of dopamine,2,SLC18A2,6571,https://www.kegg.jp/entry/hsa:6571
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,1,SNCA,6622,https://www.kegg.jp/entry/hsa:6622
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,2,ND1,4535,https://www.kegg.jp/entry/hsa:4535
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,3,ND2,4536,https://www.kegg.jp/entry/hsa:4536
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,4,ND3,4537,https://www.kegg.jp/entry/hsa:4537
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,5,ND4,4538,https://www.kegg.jp/entry/hsa:4538
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,6,ND5,4540,https://www.kegg.jp/entry/hsa:4540
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,7,ND6,4541,https://www.kegg.jp/entry/hsa:4541
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,8,NDUFS1,4719,https://www.kegg.jp/entry/hsa:4719
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,9,NDUFS2,4720,https://www.kegg.jp/entry/hsa:4720
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,10,NDUFS3,4722,https://www.kegg.jp/entry/hsa:4722
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,11,NDUFS4,4724,https://www.kegg.jp/entry/hsa:4724
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,12,NDUFS5,4725,https://www.kegg.jp/entry/hsa:4725
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,13,NDUFS6,4726,https://www.kegg.jp/entry/hsa:4726
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,14,NDUFS7,374291,https://www.kegg.jp/entry/hsa:374291
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,15,NDUFS8,4728,https://www.kegg.jp/entry/hsa:4728
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,16,NDUFV1,4723,https://www.kegg.jp/entry/hsa:4723
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,17,NDUFV2,4729,https://www.kegg.jp/entry/hsa:4729
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,18,NDUFV3,4731,https://www.kegg.jp/entry/hsa:4731
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,19,NDUFA1,4694,https://www.kegg.jp/entry/hsa:4694
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,20,NDUFA2,4695,https://www.kegg.jp/entry/hsa:4695
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,21,NDUFA3,4696,https://www.kegg.jp/entry/hsa:4696
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,22,NDUFA4,4697,https://www.kegg.jp/entry/hsa:4697
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,23,NDUFA5,4698,https://www.kegg.jp/entry/hsa:4698
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,24,NDUFA6,4700,https://www.kegg.jp/entry/hsa:4700
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,25,NDUFA7,4701,https://www.kegg.jp/entry/hsa:4701
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,26,NDUFA8,4702,https://www.kegg.jp/entry/hsa:4702
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,27,NDUFA9,4704,https://www.kegg.jp/entry/hsa:4704
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,28,NDUFA10,4705,https://www.kegg.jp/entry/hsa:4705
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,29,NDUFAB1,4706,https://www.kegg.jp/entry/hsa:4706
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,30,NDUFA11,126328,https://www.kegg.jp/entry/hsa:126328
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,31,NDUFA12,55967,https://www.kegg.jp/entry/hsa:55967
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,32,NDUFA13,51079,https://www.kegg.jp/entry/hsa:51079
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,33,NDUFB1,4707,https://www.kegg.jp/entry/hsa:4707
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,34,NDUFB2,4708,https://www.kegg.jp/entry/hsa:4708
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,35,NDUFB3,4709,https://www.kegg.jp/entry/hsa:4709
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,36,NDUFB4,4710,https://www.kegg.jp/entry/hsa:4710
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,37,NDUFB5,4711,https://www.kegg.jp/entry/hsa:4711
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,38,NDUFB6,4712,https://www.kegg.jp/entry/hsa:4712
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,39,NDUFB7,4713,https://www.kegg.jp/entry/hsa:4713
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,40,NDUFB8,4714,https://www.kegg.jp/entry/hsa:4714
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,41,NDUFB9,4715,https://www.kegg.jp/entry/hsa:4715
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,42,NDUFB10,4716,https://www.kegg.jp/entry/hsa:4716
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,43,NDUFB11,54539,https://www.kegg.jp/entry/hsa:54539
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,44,NDUFC1,4717,https://www.kegg.jp/entry/hsa:4717
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to electron transfer in Complex I,45,NDUFC2,4718,https://www.kegg.jp/entry/hsa:4718
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,1,PINK1,65018,https://www.kegg.jp/entry/hsa:65018
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,2,ND1,4535,https://www.kegg.jp/entry/hsa:4535
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,3,ND2,4536,https://www.kegg.jp/entry/hsa:4536
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,4,ND3,4537,https://www.kegg.jp/entry/hsa:4537
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,5,ND4,4538,https://www.kegg.jp/entry/hsa:4538
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,6,ND5,4540,https://www.kegg.jp/entry/hsa:4540
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,7,ND6,4541,https://www.kegg.jp/entry/hsa:4541
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,8,NDUFS1,4719,https://www.kegg.jp/entry/hsa:4719
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,9,NDUFS2,4720,https://www.kegg.jp/entry/hsa:4720
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,10,NDUFS3,4722,https://www.kegg.jp/entry/hsa:4722
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,11,NDUFS4,4724,https://www.kegg.jp/entry/hsa:4724
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,12,NDUFS5,4725,https://www.kegg.jp/entry/hsa:4725
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,13,NDUFS6,4726,https://www.kegg.jp/entry/hsa:4726
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,14,NDUFS7,374291,https://www.kegg.jp/entry/hsa:374291
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,15,NDUFS8,4728,https://www.kegg.jp/entry/hsa:4728
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,16,NDUFV1,4723,https://www.kegg.jp/entry/hsa:4723
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,17,NDUFV2,4729,https://www.kegg.jp/entry/hsa:4729
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,18,NDUFV3,4731,https://www.kegg.jp/entry/hsa:4731
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,19,NDUFA1,4694,https://www.kegg.jp/entry/hsa:4694
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,20,NDUFA2,4695,https://www.kegg.jp/entry/hsa:4695
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,21,NDUFA3,4696,https://www.kegg.jp/entry/hsa:4696
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,22,NDUFA4,4697,https://www.kegg.jp/entry/hsa:4697
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,23,NDUFA5,4698,https://www.kegg.jp/entry/hsa:4698
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,24,NDUFA6,4700,https://www.kegg.jp/entry/hsa:4700
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,25,NDUFA7,4701,https://www.kegg.jp/entry/hsa:4701
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,26,NDUFA8,4702,https://www.kegg.jp/entry/hsa:4702
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,27,NDUFA9,4704,https://www.kegg.jp/entry/hsa:4704
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,28,NDUFA10,4705,https://www.kegg.jp/entry/hsa:4705
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,29,NDUFAB1,4706,https://www.kegg.jp/entry/hsa:4706
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,30,NDUFA11,126328,https://www.kegg.jp/entry/hsa:126328
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,31,NDUFA12,55967,https://www.kegg.jp/entry/hsa:55967
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,32,NDUFA13,51079,https://www.kegg.jp/entry/hsa:51079
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,33,NDUFB1,4707,https://www.kegg.jp/entry/hsa:4707
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,34,NDUFB2,4708,https://www.kegg.jp/entry/hsa:4708
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,35,NDUFB3,4709,https://www.kegg.jp/entry/hsa:4709
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,36,NDUFB4,4710,https://www.kegg.jp/entry/hsa:4710
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,37,NDUFB5,4711,https://www.kegg.jp/entry/hsa:4711
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,38,NDUFB6,4712,https://www.kegg.jp/entry/hsa:4712
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,39,NDUFB7,4713,https://www.kegg.jp/entry/hsa:4713
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,40,NDUFB8,4714,https://www.kegg.jp/entry/hsa:4714
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,41,NDUFB9,4715,https://www.kegg.jp/entry/hsa:4715
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,42,NDUFB10,4716,https://www.kegg.jp/entry/hsa:4716
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,43,NDUFB11,54539,https://www.kegg.jp/entry/hsa:54539
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,44,NDUFC1,4717,https://www.kegg.jp/entry/hsa:4717
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to electron transfer in Complex I,45,NDUFC2,4718,https://www.kegg.jp/entry/hsa:4718
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,1,ND1,4535,https://www.kegg.jp/entry/hsa:4535
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,2,ND2,4536,https://www.kegg.jp/entry/hsa:4536
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,3,ND3,4537,https://www.kegg.jp/entry/hsa:4537
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,4,ND4,4538,https://www.kegg.jp/entry/hsa:4538
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,5,ND5,4540,https://www.kegg.jp/entry/hsa:4540
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,6,ND6,4541,https://www.kegg.jp/entry/hsa:4541
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,7,NDUFS1,4719,https://www.kegg.jp/entry/hsa:4719
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,8,NDUFS2,4720,https://www.kegg.jp/entry/hsa:4720
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,9,NDUFS3,4722,https://www.kegg.jp/entry/hsa:4722
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,10,NDUFS4,4724,https://www.kegg.jp/entry/hsa:4724
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,11,NDUFS5,4725,https://www.kegg.jp/entry/hsa:4725
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,12,NDUFS6,4726,https://www.kegg.jp/entry/hsa:4726
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,13,NDUFS7,374291,https://www.kegg.jp/entry/hsa:374291
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,14,NDUFS8,4728,https://www.kegg.jp/entry/hsa:4728
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,15,NDUFV1,4723,https://www.kegg.jp/entry/hsa:4723
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,16,NDUFV2,4729,https://www.kegg.jp/entry/hsa:4729
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,17,NDUFV3,4731,https://www.kegg.jp/entry/hsa:4731
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,18,NDUFA1,4694,https://www.kegg.jp/entry/hsa:4694
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,19,NDUFA2,4695,https://www.kegg.jp/entry/hsa:4695
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,20,NDUFA3,4696,https://www.kegg.jp/entry/hsa:4696
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,21,NDUFA4,4697,https://www.kegg.jp/entry/hsa:4697
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,22,NDUFA5,4698,https://www.kegg.jp/entry/hsa:4698
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,23,NDUFA6,4700,https://www.kegg.jp/entry/hsa:4700
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,24,NDUFA7,4701,https://www.kegg.jp/entry/hsa:4701
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,25,NDUFA8,4702,https://www.kegg.jp/entry/hsa:4702
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,26,NDUFA9,4704,https://www.kegg.jp/entry/hsa:4704
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,27,NDUFA10,4705,https://www.kegg.jp/entry/hsa:4705
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,28,NDUFAB1,4706,https://www.kegg.jp/entry/hsa:4706
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,29,NDUFA11,126328,https://www.kegg.jp/entry/hsa:126328
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,30,NDUFA12,55967,https://www.kegg.jp/entry/hsa:55967
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,31,NDUFA13,51079,https://www.kegg.jp/entry/hsa:51079
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,32,NDUFB1,4707,https://www.kegg.jp/entry/hsa:4707
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,33,NDUFB2,4708,https://www.kegg.jp/entry/hsa:4708
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,34,NDUFB3,4709,https://www.kegg.jp/entry/hsa:4709
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,35,NDUFB4,4710,https://www.kegg.jp/entry/hsa:4710
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,36,NDUFB5,4711,https://www.kegg.jp/entry/hsa:4711
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,37,NDUFB6,4712,https://www.kegg.jp/entry/hsa:4712
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,38,NDUFB7,4713,https://www.kegg.jp/entry/hsa:4713
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,39,NDUFB8,4714,https://www.kegg.jp/entry/hsa:4714
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,40,NDUFB9,4715,https://www.kegg.jp/entry/hsa:4715
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,41,NDUFB10,4716,https://www.kegg.jp/entry/hsa:4716
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,42,NDUFB11,54539,https://www.kegg.jp/entry/hsa:54539
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,43,NDUFC1,4717,https://www.kegg.jp/entry/hsa:4717
hsa05012,Parkinson disease,MPP+ to electron transfer in Complex I,44,NDUFC2,4718,https://www.kegg.jp/entry/hsa:4718
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,1,ND1,4535,https://www.kegg.jp/entry/hsa:4535
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,2,ND2,4536,https://www.kegg.jp/entry/hsa:4536
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,3,ND3,4537,https://www.kegg.jp/entry/hsa:4537
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,4,ND4,4538,https://www.kegg.jp/entry/hsa:4538
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,5,ND5,4540,https://www.kegg.jp/entry/hsa:4540
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,6,ND6,4541,https://www.kegg.jp/entry/hsa:4541
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,7,NDUFS1,4719,https://www.kegg.jp/entry/hsa:4719
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,8,NDUFS2,4720,https://www.kegg.jp/entry/hsa:4720
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,9,NDUFS3,4722,https://www.kegg.jp/entry/hsa:4722
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,10,NDUFS4,4724,https://www.kegg.jp/entry/hsa:4724
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,11,NDUFS5,4725,https://www.kegg.jp/entry/hsa:4725
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,12,NDUFS6,4726,https://www.kegg.jp/entry/hsa:4726
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,13,NDUFS7,374291,https://www.kegg.jp/entry/hsa:374291
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,14,NDUFS8,4728,https://www.kegg.jp/entry/hsa:4728
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,15,NDUFV1,4723,https://www.kegg.jp/entry/hsa:4723
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,16,NDUFV2,4729,https://www.kegg.jp/entry/hsa:4729
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,17,NDUFV3,4731,https://www.kegg.jp/entry/hsa:4731
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,18,NDUFA1,4694,https://www.kegg.jp/entry/hsa:4694
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,19,NDUFA2,4695,https://www.kegg.jp/entry/hsa:4695
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,20,NDUFA3,4696,https://www.kegg.jp/entry/hsa:4696
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,21,NDUFA4,4697,https://www.kegg.jp/entry/hsa:4697
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,22,NDUFA5,4698,https://www.kegg.jp/entry/hsa:4698
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,23,NDUFA6,4700,https://www.kegg.jp/entry/hsa:4700
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,24,NDUFA7,4701,https://www.kegg.jp/entry/hsa:4701
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,25,NDUFA8,4702,https://www.kegg.jp/entry/hsa:4702
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,26,NDUFA9,4704,https://www.kegg.jp/entry/hsa:4704
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,27,NDUFA10,4705,https://www.kegg.jp/entry/hsa:4705
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,28,NDUFAB1,4706,https://www.kegg.jp/entry/hsa:4706
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,29,NDUFA11,126328,https://www.kegg.jp/entry/hsa:126328
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,30,NDUFA12,55967,https://www.kegg.jp/entry/hsa:55967
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,31,NDUFA13,51079,https://www.kegg.jp/entry/hsa:51079
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,32,NDUFB1,4707,https://www.kegg.jp/entry/hsa:4707
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,33,NDUFB2,4708,https://www.kegg.jp/entry/hsa:4708
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,34,NDUFB3,4709,https://www.kegg.jp/entry/hsa:4709
hsa05012,Parkinson disease,Rotenone to electron transfer in Complex I,35,NDUFB4,4710,https://www.kegg.jp/entry/hsa:4710
